pair,trade_date,delivery_date,direction,notional_currency,notional_amount
GBP/EUR,2025-12-31,2026-03-31,SELL GBP / BUY EUR,GBP,99919954.87659219
USD/EUR,2025-12-31,2026-03-31,SELL USD / BUY EUR,USD,199816874.69847414
GBP/EUR,2026-03-31,2026-06-30,SELL GBP / BUY EUR,GBP,99817931.36017656
USD/EUR,2026-03-31,2026-06-30,SELL USD / BUY EUR,USD,199582728.56345338
GBP/EUR,2026-06-30,2026-09-30,SELL GBP / BUY EUR,GBP,99713459.38395688
USD/EUR,2026-06-30,2026-09-30,SELL USD / BUY EUR,USD,199341825.98006147
GBP/EUR,2026-09-30,2026-12-31,SELL GBP / BUY EUR,GBP,99606480.18740791
USD/EUR,2026-09-30,2026-12-31,SELL USD / BUY EUR,USD,199093971.98631632
GBP/EUR,2026-12-31,2027-03-31,SELL GBP / BUY EUR,GBP,99496933.59981203
USD/EUR,2026-12-31,2027-03-31,SELL USD / BUY EUR,USD,198838965.99447322
GBP/EUR,2027-03-31,2027-06-30,SELL GBP / BUY EUR,GBP,99384758.0064161
USD/EUR,2027-03-31,2027-06-30,SELL USD / BUY EUR,USD,198576601.6286895
GBP/EUR,2027-06-30,2027-09-30,SELL GBP / BUY EUR,GBP,99269890.31377603
USD/EUR,2027-06-30,2027-09-30,SELL USD / BUY EUR,USD,198306666.5580053
GBP/EUR,2027-09-30,2027-12-31,SELL GBP / BUY EUR,GBP,99152265.91426982
USD/EUR,2027-09-30,2027-12-31,SELL USD / BUY EUR,USD,198028942.3245042
GBP/EUR,2027-12-31,2028-03-31,SELL GBP / BUY EUR,GBP,99031818.64975873
USD/EUR,2027-12-31,2028-03-31,SELL USD / BUY EUR,USD,197743204.1665157
GBP/EUR,2028-03-31,2028-06-30,SELL GBP / BUY EUR,GBP,98908480.77437648
USD/EUR,2028-03-31,2028-06-30,SELL USD / BUY EUR,USD,197449220.83671632
GBP/EUR,2028-06-30,2028-09-30,SELL GBP / BUY EUR,GBP,98782182.91642553
USD/EUR,2028-06-30,2028-09-30,SELL USD / BUY EUR,USD,197146754.41498125
GBP/EUR,2028-09-30,2028-12-31,SELL GBP / BUY EUR,GBP,98652854.03935865
USD/EUR,2028-09-30,2028-12-31,SELL USD / BUY EUR,USD,196835560.11583638
GBP/EUR,2028-12-31,2029-03-31,SELL GBP / BUY EUR,GBP,98520421.40182433
USD/EUR,2028-12-31,2029-03-31,SELL USD / BUY EUR,USD,196515386.0903536
GBP/EUR,2029-03-31,2029-06-30,SELL GBP / BUY EUR,GBP,98384810.51675315
USD/EUR,2029-03-31,2029-06-30,SELL USD / BUY EUR,USD,196185973.22233018
GBP/EUR,2029-06-30,2029-09-30,SELL GBP / BUY EUR,GBP,98245945.1094625
USD/EUR,2029-06-30,2029-09-30,SELL USD / BUY EUR,USD,195847054.91858655
GBP/EUR,2029-09-30,2029-12-31,SELL GBP / BUY EUR,GBP,98103747.07475543
USD/EUR,2029-09-30,2029-12-31,SELL USD / BUY EUR,USD,195498356.89321274
GBP/EUR,2029-12-31,2030-03-31,SELL GBP / BUY EUR,GBP,97958136.43299046
USD/EUR,2029-12-31,2030-03-31,SELL USD / BUY EUR,USD,195139596.94558975
GBP/EUR,2030-03-31,2030-06-30,SELL GBP / BUY EUR,GBP,97809031.28509659
USD/EUR,2030-03-31,2030-06-30,SELL USD / BUY EUR,USD,194770484.73200452
GBP/EUR,2030-06-30,2030-09-30,SELL GBP / BUY EUR,GBP,97656347.7665092
USD/EUR,2030-06-30,2030-09-30,SELL USD / BUY EUR,USD,194390721.53067607
